"","Time","Latitude_Deg","Longitude_Deg","Hs_Wave_Height_m","Tp_Wave_Period_sec","Dominant_Wave_Direction_Deg","Mean_Wave_Direction__Deg","Time_ET"
20,2026-03-02 07:00:00,-100000.000000,-100000.000000,0.19,3.4,357,217,2026-03-02 02:00:00
21,2026-03-02 08:00:00,-100000.000000,-100000.000000,0.20,1.7,266,150,2026-03-02 03:00:00
22,2026-03-02 09:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 04:00:00
23,2026-03-02 10:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 05:00:00
24,2026-03-02 11:00:00,-100000.000000,-100000.000000,0.15,1.4,177,289,2026-03-02 06:00:00
25,2026-03-02 12:00:00,-100000.000000,-100000.000000,0.14,1.4,46,226,2026-03-02 07:00:00
26,2026-03-02 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 08:00:00
1,2026-03-02 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 08:00:00
2,2026-03-02 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 09:00:00
1,2026-03-02 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 09:00:00
2,2026-03-02 15:00:00,-100000.000000,-100000.000000,0.19,5.9,305,336,2026-03-02 10:00:00
1,2026-03-02 15:00:00,-100000.000000,-100000.000000,0.19,5.9,305,336,2026-03-02 10:00:00
2,2026-03-02 16:00:00,-100000.000000,-100000.000000,0.12,5.7,134,178,2026-03-02 11:00:00
1,2026-03-02 16:00:00,-100000.000000,-100000.000000,0.12,5.7,134,178,2026-03-02 11:00:00
2,2026-03-02 17:00:00,-100000.000000,-100000.000000,0.14,3.0,167,219,2026-03-02 12:00:00
1,2026-03-02 17:00:00,-100000.000000,-100000.000000,0.14,3.0,167,219,2026-03-02 12:00:00
2,2026-03-02 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 13:00:00
1,2026-03-02 18:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 13:00:00
2,2026-03-02 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 14:00:00
1,2026-03-02 19:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 14:00:00
2,2026-03-02 20:00:00,-100000.000000,-100000.000000,0.06,5.6,131,152,2026-03-02 15:00:00
1,2026-03-02 20:00:00,-100000.000000,-100000.000000,0.06,5.6,131,152,2026-03-02 15:00:00
1,2026-03-02 20:00:00,-100000.000000,-100000.000000,0.06,5.6,131,152,2026-03-02 15:00:00
2,2026-03-02 21:00:00,-100000.000000,-100000.000000,0.06,5.5,165,236,2026-03-02 16:00:00
3,2026-03-02 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 17:00:00
4,2026-03-02 23:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 18:00:00
5,2026-03-03,-100000.000000,-100000.000000,0.17,1.5,136,319,2026-03-02 19:00:00
6,2026-03-03 01:00:00,-100000.000000,-100000.000000,0.15,1.7,283,168,2026-03-02 20:00:00
7,2026-03-03 02:00:00,-100000.000000,-100000.000000,0.12,3.9,265,256,2026-03-02 21:00:00
8,2026-03-03 03:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 22:00:00
9,2026-03-03 04:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-02 23:00:00
10,2026-03-03 05:00:00,-100000.000000,-100000.000000,0.13,1.7,337,297,2026-03-03
11,2026-03-03 06:00:00,-100000.000000,-100000.000000,0.12,1.7,262,248,2026-03-03 01:00:00
12,2026-03-03 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 02:00:00
13,2026-03-03 08:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 03:00:00
14,2026-03-03 09:00:00,-100000.000000,-100000.000000,0.04,1.4,132,295,2026-03-03 04:00:00
15,2026-03-03 10:00:00,-100000.000000,-100000.000000,0.06,1.3,48,30,2026-03-03 05:00:00
16,2026-03-03 11:00:00,-100000.000000,-100000.000000,0.05,1.7,282,301,2026-03-03 06:00:00
17,2026-03-03 12:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 07:00:00
18,2026-03-03 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 08:00:00
1,2026-03-03 13:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 08:00:00
2,2026-03-03 14:00:00,-100000.000000,-100000.000000,0.10,5.5,223,277,2026-03-03 09:00:00
1,2026-03-03 14:00:00,-100000.000000,-100000.000000,0.10,5.5,223,277,2026-03-03 09:00:00
2,2026-03-03 15:00:00,-100000.000000,-100000.000000,0.13,2.1,281,273,2026-03-03 10:00:00
1,2026-03-03 15:00:00,-100000.000000,-100000.000000,0.13,2.1,281,273,2026-03-03 10:00:00
2,2026-03-03 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 11:00:00
1,2026-03-03 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 11:00:00
2,2026-03-03 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 12:00:00
1,2026-03-03 17:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 12:00:00
2,2026-03-03 18:00:00,-100000.000000,-100000.000000,0.09,3.0,73,86,2026-03-03 13:00:00
1,2026-03-03 18:00:00,-100000.000000,-100000.000000,0.09,3.0,73,86,2026-03-03 13:00:00
2,2026-03-03 19:00:00,-100000.000000,-100000.000000,0.09,4.9,87,147,2026-03-03 14:00:00
1,2026-03-03 19:00:00,-100000.000000,-100000.000000,0.09,4.9,87,147,2026-03-03 14:00:00
2,2026-03-03 20:00:00,-100000.000000,-100000.000000,0.08,1.4,287,292,2026-03-03 15:00:00
3,2026-03-03 21:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 16:00:00
4,2026-03-03 22:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 17:00:00
5,2026-03-03 23:00:00,-100000.000000,-100000.000000,0.09,1.5,199,221,2026-03-03 18:00:00
6,2026-03-04,-100000.000000,-100000.000000,0.13,2.0,83,85,2026-03-03 19:00:00
7,2026-03-04 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 20:00:00
8,2026-03-04 02:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-03 21:00:00
9,2026-03-04 03:00:00,-100000.000000,-100000.000000,0.08,2.5,184,142,2026-03-03 22:00:00
10,2026-03-04 04:00:00,-100000.000000,-100000.000000,0.11,4.3,101,100,2026-03-03 23:00:00
11,2026-03-04 05:00:00,-100000.000000,-100000.000000,0.08,4.0,120,117,2026-03-04
12,2026-03-04 06:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 01:00:00
13,2026-03-04 07:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 02:00:00
14,2026-03-04 08:00:00,-100000.000000,-100000.000000,0.06,4.9,100,88,2026-03-04 03:00:00
15,2026-03-04 09:00:00,-100000.000000,-100000.000000,0.04,3.6,117,124,2026-03-04 04:00:00
16,2026-03-04 10:00:00,-100000.000000,-100000.000000,0.04,3.2,90,92,2026-03-04 05:00:00
17,2026-03-04 11:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 06:00:00
18,2026-03-04 12:00:00,-100000.000000,-100000.000000,0.05,3.8,92,90,2026-03-04 07:00:00
19,2026-03-04 13:00:00,-100000.000000,-100000.000000,0.05,1.8,84,80,2026-03-04 08:00:00
1,2026-03-04 13:00:00,-100000.000000,-100000.000000,0.05,1.8,84,80,2026-03-04 08:00:00
2,2026-03-04 14:00:00,-100000.000000,-100000.000000,0.06,4.9,164,261,2026-03-04 09:00:00
1,2026-03-04 14:00:00,-100000.000000,-100000.000000,0.06,4.9,164,261,2026-03-04 09:00:00
2,2026-03-04 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 10:00:00
1,2026-03-04 15:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 10:00:00
2,2026-03-04 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 11:00:00
1,2026-03-04 16:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 11:00:00
2,2026-03-04 17:00:00,-100000.000000,-100000.000000,0.08,4.6,93,86,2026-03-04 12:00:00
3,2026-03-04 18:00:00,-100000.000000,-100000.000000,0.04,5.1,95,86,2026-03-04 13:00:00
1,2026-03-04 18:00:00,-100000.000000,-100000.000000,0.04,5.1,95,86,2026-03-04 13:00:00
2,2026-03-04 19:00:00,-100000.000000,-100000.000000,0.09,3.6,63,73,2026-03-04 14:00:00
1,2026-03-04 19:00:00,-100000.000000,-100000.000000,0.09,3.6,63,73,2026-03-04 14:00:00
2,2026-03-04 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 15:00:00
1,2026-03-04 20:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 15:00:00
2,2026-03-04 21:00:00,-100000.000000,-100000.000000,0.05,3.2,18,45,2026-03-04 16:00:00
3,2026-03-04 22:00:00,-100000.000000,-100000.000000,0.04,5.3,109,87,2026-03-04 17:00:00
4,2026-03-04 23:00:00,-100000.000000,-100000.000000,0.05,3.7,281,304,2026-03-04 18:00:00
5,2026-03-05,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 19:00:00
6,2026-03-05 01:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-04 20:00:00
7,2026-03-05 02:00:00,-100000.000000,-100000.000000,0.06,2.5,306,324,2026-03-04 21:00:00
8,2026-03-05 03:00:00,-100000.000000,-100000.000000,0.08,5.9,73,79,2026-03-04 22:00:00
9,2026-03-05 04:00:00,-100000.000000,-100000.000000,0.08,2.1,99,108,2026-03-04 23:00:00
10,2026-03-05 05:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05
11,2026-03-05 06:00:00,-100000.000000,-100000.000000,0.07,7.2,111,101,2026-03-05 01:00:00
12,2026-03-05 07:00:00,-100000.000000,-100000.000000,0.05,4.2,90,94,2026-03-05 02:00:00
13,2026-03-05 08:00:00,-100000.000000,-100000.000000,0.05,5.4,91,88,2026-03-05 03:00:00
14,2026-03-05 09:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 04:00:00
15,2026-03-05 10:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 05:00:00
16,2026-03-05 11:00:00,-100000.000000,-100000.000000,0.03,5.0,112,92,2026-03-05 06:00:00
17,2026-03-05 12:00:00,-100000.000000,-100000.000000,0.03,2.4,295,246,2026-03-05 07:00:00
1,2026-03-05 12:00:00,-100000.000000,-100000.000000,0.03,2.4,295,246,2026-03-05 07:00:00
2,2026-03-05 13:00:00,-100000.000000,-100000.000000,0.08,3.8,127,112,2026-03-05 08:00:00
3,2026-03-05 14:00:00,-100000.000000,-100000.000000,-100000.00,-100000.0,-100000,-100000,2026-03-05 09:00:00
